序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
11,#茂县发生山体塌方# 抢险进行时，请大家耐心等待，交通部门一直在现场进行抢险。有新的消息小编会及时更新。绕行路线小编之前有发过。有任何疑问都可以私信小编。@茂县警方 也会为大家保驾护航。 ​​​​,否,,2017-08-08 20:48,1,58,14,iPhone 6,https://weibo.com/6216013831/FgbuMrmqP
12,#茂县发生山体塌方#  【最新消息】G213线阿坝州茂县境内K769+700(石大关旧关龙）塌方处交通部门抢险人员正在抓紧抢通中。@茂县警方 也在现场协调道路交通安全，请大家注意安全。后续小编会及时发布抢险信息。 ​​​​,否,,2017-08-08 16:35,4,22,13,专业版微博,https://weibo.com/6216013831/Fg9Q91btE
13,#茂县发生山体塌方#  【最新消息】G213线阿坝州茂县境内K769 700(石大关旧关龙）塌方处现在五台装载机、两台挖掘机采用双向掘进，四个点，同时开展抢险工作。为了抢险工作的科学和安全，设立了三个观察哨，全方位的对塌方体进行观测。（来源：阿坝州公路管理局）后续抢险工作小编也会及时发布。也请所有驾驶员注意交通安全。@茂县警方,否,,2017-08-08 14:44,7,22,10,专业版微博,https://weibo.com/6216013831/Fg977bHSu
14,#阿坝突发# 2017年8月8日中午13许，国道213线茂县渭门乡椒园村窄溪组马鞍山垮塌处，现已抢通，车辆已恢复通行。 ​​​​,否,,2017-08-08 13:34,2,16,19,专业版微博,https://weibo.com/6216013831/Fg8EyBOca
15,#阿坝突发# 茂县渭门乡椒园村窄溪组马鞍山地质灾害隐患点垮塌路段开始抢通。后续小编会及时更新抢通消息。请过往车辆注意安全。@茂县警方 L秒拍视频 ​​​​,否,,2017-08-08 11:49,3,1,9,360安全浏览器,https://weibo.com/6216013831/Fg7Y7vFld
16,#阿坝突发# 【茂县渭门乡马鞍山发生垮塌】据茂县渭门乡政府报告：2017年8月8日上午10许，茂县渭门乡椒园村窄溪组马鞍山（801+200米）地质灾害隐患点发生垮塌，垮方量约2000方左右，造成国道213线交通阻断。无人员伤亡和车辆受损情况。 ​​​​,否,,2017-08-08 11:32,1,15,9,360安全浏览器,https://weibo.com/6216013831/Fg7RcwdMC
17,#茂县发生山体塌方# 由于塌方路段抢险作业面狭窄，阿坝州公路管理局派出挖掘机拓宽抢险作业平台，保障后续抢险工作。【来源：阿坝州公路管理局】后续抢通消息小编会及时发布。 L秒拍视频 ​​​​,否,,2017-08-08 10:17,5,28,12,秒拍网页版,https://weibo.com/6216013831/Fg7mJnLmR
18,#茂县发生山体塌方# 8月7日清晨，茂县政府组织安排地质灾害专家对塌方路段进行实地勘察，根据实地察看结果和意见拟定应急排危方案。目前，阿坝州公路管理局在现场部署装载机3台、挖掘机2台、运输车2台、应急抢险指挥车4台，抢险人员37人在现场安全处待命，随时做好应急抢通准备工作。另调集14台装载机待命，并组织周边公路分局随时进行支援。目前暂无法估计具体通车时间，请大家耐心等待，有最新消息小编会及时更新。,否,,2017-08-07 11:23,3,81,16,360安全浏览器,https://weibo.com/6216013831/FfYmY12I5
19,#茂县发生山体塌方#  【最新消息】G213线阿坝州茂县境内K769 700(石大关旧关龙）处山体高位持续发生坍方，昨晚抢险工作无法开展，目前坍方路段正在降小雨，已中断交通，暂无法预计恢复通行时间。请过往司机提前做好安排。【省应急办 省通管局 省公路局】请车辆注意安全，后续小编会持续关注，有新消息会立即发出。,否,,2017-08-07 09:41,5,31,3,专业版微博,https://weibo.com/6216013831/FfXHxzUyt
20,2017年8月7日05时40分四川省气象台发布第21号暴雨黄色预警信号：过去6小时，成都、广元、乐山、眉山、雅安5市的个别地方出现了大雨到暴雨，预计未来6小时，广元、绵阳、德阳、成都、雅安、乐山、眉山7市及巴中、南充2市西部、阿坝州漩映地区有大雨到暴雨，局部地方有大暴雨，并伴有雷电和短时阵性大风。请过往车辆注意行车安全。小编会及时跟进最新消息，请大家耐心等待。,否,,2017-08-07 08:57,转发,7,4,360安全浏览器,https://weibo.com/6216013831/FfXpM1Val
21,据最新消息，G213线阿坝州茂县境内石大关塌方现场车辆已安全疏导劝返，茂县公安局派出工作人员正在两河口（茂县与黑水县分叉路）和县城36米大道对车辆进行疏导分流。绕行线路:1、成都—汶川—茂县—黑水—红原—松潘-九寨沟；2、成都—汶川—理县—红原—松潘-九寨沟；3、成都-绵阳-平武-松潘-九寨沟。请大家一定注意安全，切勿夜间行车。@茂县警方,否,,2017-08-06 20:22,12,115,43,360安全浏览器,https://weibo.com/6216013831/FfStkpaVI
22,据茂县应急办消息，塌方路段为石大关K769+700米处 （旧关龙）。目前塌方仍在继续。交警在现场劝返车辆，茂县公路分局也在现场开展抢险工作。目前没有车辆、人员伤亡情况。 ​​​​,否,,2017-08-06 18:04,14,20,7,微博 weibo.com,https://weibo.com/6216013831/FfRzlzOml
23,塌方现场，目前暂无人员、车辆伤亡情况。预计8月7日8时抢通便道。 ​​​​,否,,2017-08-06 17:32,23,49,58,微博 weibo.com,https://weibo.com/6216013831/FfRmldqJe
24,据阿坝州公路局消息：8月6日15时45分，国道213线K769+700（茂县石大关旧关楼）发生山体高位坍方7000余立方米，造成道路交通中断。灾情发生后，茂县公路分局立即组织机械和抢险人员赶赴现场抢险，预计8月7日8时抢通便道。大家一定要注意安全，耐心等待，抢险人员已经开始抢险。后续小便会持续发布。 ​​​​,否,,2017-08-06 17:21,3,5,12,微博 weibo.com,https://weibo.com/6216013831/FfRhVwM2O
25,据茂县应急办消息：茂县石大关K769+700米处 （旧关龙）3点左右发生塌方，3点45分国道213线断道。目前暂未收到人员伤亡的消息，后续情况小编会及时发布。 ​​​​,否,,2017-08-06 17:02,8,39,15,微博 weibo.com,https://weibo.com/6216013831/FfRaasDsC
26,#阿坝生活# 【吃货福利：夏日茂县美食季！】夏天，茂县不只有清凉和水果，还有各式各样的美食，搅团、糍粑、土火锅、荞面.....大批美食正在赶来，你准备好来茂县感受美食了吗？ ​​​​,否,,2017-08-04 17:49,2,8,26,专业版微博,https://weibo.com/6216013831/FfyCizdc8
27,#阿坝生活# 【茂县李子清凉来袭啦！】滚滚热浪还是抵挡不住茂县青脆李的香甜可口。7月底开始，个大皮薄，肉嫩多汁的茂县青脆李上市了，这个季节来茂县，青脆李吃到嘴软，让你享受热浪里的清凉。茂县被誉为成都的“果盘子”。年均气温11.0℃，无霜期215.4天，年均日照1549.4小时。海拔高低悬殊大，垂直气候和地区气候明显，日照充足，四季明显，昼夜温差大。光照充足，有利于李子上色。通过近几年的不断努力，茂县青脆李产业正朝着标准化、规模化的方向健康、持续地发展。目前，茂县全县已种植青脆李5万余亩，产量预计可达10万吨。茂县青脆李已成为全县农民持续增收的特色水果产业之一。,否,,2017-08-03 10:03,6,39,23,微博 weibo.com,https://weibo.com/6216013831/Ffm8DlZo5
28,太阳的光束照射在茂县这片美丽土地上，唤醒了勤劳的羌民族。流动的云彩、缕缕的炊烟。新的一天，茂县依旧美丽。 L秒拍视频 ​​​​,否,,2017-08-01 08:49,2,6,15,秒拍网页版,https://weibo.com/6216013831/Ff2NteKus
29,云海翻腾的茂县，美不胜收。 L秒拍视频 ​​​​,否,,2017-07-31 16:25,1,15,16,秒拍网页版,https://weibo.com/6216013831/FeWm22auK
30,茂县新的一天：日出美景，流动的云彩，从云海里探出头的太阳。 L秒拍视频 ​​​​,否,,2017-07-31 10:26,转发,5,26,秒拍网页版,https://weibo.com/6216013831/FeU0pxtMw
31,茂县九鼎山，山花烂漫云海翻腾：每到夏季，九鼎山上各种野花盛开，犹如世外花园，让人迷醉。终年缠绕山峰的云雾，像一缕缕从山涧溢出的青烟，缠绵不止，山中有云，云中有山。 L秒拍视频 ​​​​,否,,2017-07-26 09:53,4,37,20,360安全浏览器,https://weibo.com/6216013831/Fe8Evs1I4
