序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,花园路街道组织“情满花园”的文艺汇演，我社区舞蹈队表演的舞蹈“花园路的回忆”受到广大观众的好评，这支舞蹈体现了我社区居民喜迎十八大的精神面貌和北京精神的和谐气氛。 ​​​​,否,,2012-09-10 10:20,2,评论,赞,专业版微博,https://weibo.com/2653429213/yBcjU3hB1
1,又到周末了，有大雨，请朋友们出行注意安全哟。 ​​​​,否,,2012-07-27 14:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2653429213/yunUX6B11
2,7月26日上午，同仁堂的专家来到我社区为居民们讲座“健康一夏天”，夏季天热人们喜欢吃冰冷食品，这样则引起脾胃功能失调，专家提醒大家，脾胃虚弱一般是脾胃有寒邪、湿气重，脾胃喜燥恶湿。只要有正确的饮食习惯，才能保证自己的身体健康，为了自己的身体健康要科学饮食。 ​​​​,否,,2012-07-27 14:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2653429213/yunSz4RZw
