序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
15,【遂宁：“小红本”确保大安全】9月21日，在大英县隆盛镇同心3村农网施工现场，同进同出人员正在仔细检查施工安全和质量，并不时将发现的问题和整改要求记录在巴掌大的“小红本”中。（“小红本”全称“同进同出工作记录簿”，是国网遂宁大英供电分公司在创新管理、提高安全水平过程中探索出的“小改进”。主要用于工程项目同进同出人员在履行工作职责时做好相关记录，落实痕迹管理。此外，通过对工作记录的分析总结，便于公司管理部门找准违章根源，从源头把控施工安全。）,否,,2017-09-25 10:00,转发,评论,1,微博 weibo.com,https://weibo.com/5820817140/FnpLx6889
16,【关于食品安全，你应该知道的27件事】近日，廉价烤肠被爆出制作原料多是仿造肉，属世卫组织评定的一类致癌物，引发大量关注。食品安全是大事，吃货们可要当心！选购食用油有哪些注意事项？如何识别变质酸奶和变质罐头？误食野生蘑菇怎么办？27个食品安全小常识↓↓关乎健康和生命，转发收藏！ ​​​​ （@人民日报 ）,否,,2017-09-25 09:30,转发,评论,赞,微博 weibo.com,https://weibo.com/5820817140/Fnpzm7Z4C
17,【遂宁：节前进小区 服务更贴心】“大爷，今年国庆中秋的假期有8天，出门去耍之前要记得关掉家里不需要用电的电器，这样既省电又安全。”9月21日上午，国网四川电力（遂宁）共产党员服务队在曾家湾小区大门前为小区居民们宣传节假日前的安全用电和掌上电力APP的安装推广。 ​​​​,否,,2017-09-25 09:00,1,评论,2,微博 weibo.com,https://weibo.com/5820817140/FnpnauvNa
18,#早安#要相信自己，善待自己，让自己的生活精彩纷呈。不要误认为是要让某个人后悔，而是为了让自己的人生更精彩 ​​​​,否,,2017-09-25 08:00,1,1,赞,微博 weibo.com,https://weibo.com/5820817140/FnoYPcqVT
19,转发微博,是,#历史上的今天#1959年9月24日，北京人民大会堂建成。人民大会堂位于天安门广场西侧，建筑面积达171800平方米，是20世纪50年代北京“十大建筑”之一。 ​​​​,2017-09-24 09:59,转发,评论,赞,iPhone 6,https://weibo.com/5820817140/FngkTnc6Q
20,国庆准备去巴厘岛的童鞋们，赶紧重新规划路线吧,是,【#巴厘岛火山爆发在即# 当地居民紧急撤离】位于印度尼西亚巴厘岛的阿贡火山（Gunung Agung）是当地热门旅游景点之一，但近期该火山一直处于活跃状态。目前，印尼将阿贡火山的警戒水平提至最高。当地官员9月22日表示，三万多村民已经离开家园。国庆期间想去巴厘岛旅游的亲，恐怕要重新规划路线了。（凤 ​​​​...展开全文c,2017-09-24 09:44,转发,评论,赞,iPhone 6,https://weibo.com/5820817140/FngewA848
21,1909.09 中国人设计的第一条铁路通车，2017.09 复兴号跑出350公里的时速，感谢一直在努力的铁路人,是,#历史上的今天# 【中国设计的第一条铁路通车】1909年9月24日，中国设计的第一条铁路--京张铁路通车。1905年4月，詹天佑被任命为京张铁路建筑总工程师。京张铁路全长200多公里，其路段多处于崇山峻岭之中，而居庸关、八达岭一段尽是悬崖峭壁，詹天佑为克服地形与展线的困难。设计了“人”字形路线 ​​​​...展开全文c,2017-09-24 09:43,转发,评论,赞,iPhone 6,https://weibo.com/5820817140/Fnge9wlc3
22,#晚安#岁月不会因你停顿丝毫，感谢我们经历的时光，晚安。 ​​​​,否,,2017-09-22 23:00,转发,评论,1,微博 weibo.com,https://weibo.com/5820817140/Fn2AE6ouO
23,【眉山：点亮心灯】9月21日，国网青神县供电公司党员志愿者分别来到青神县黑龙镇中心小学“川电留守儿童之家”和青神县中心福利院，为留守儿童讲解家庭安全用电常识，为孤寡老人检查寝室、卫生间电器使用状况，更换了损坏的灯头、灯泡、开关、插座。扩大“心连心”服务站在该县的影响力和品牌效应，树立服务为先、特色鲜明、社会认可、广受欢迎的国家电网志愿服务品牌，形成崇尚志愿服务、小善积德，共建和谐的浓厚风气。（余忠伟、李浩裴）,否,,2017-09-22 17:00,转发,评论,赞,微博 weibo.com,https://weibo.com/5820817140/Fn0ewjpFK
24,【80后夫妻做“离婚考卷”均上80分，法院判不准离婚】14日，四川宜宾县人民法院观音法庭出现“离婚考卷”，试题分客观、主观题，夫妻双方彼此打分，一对准备离婚的80后夫妻均上80分，法院做出不准离婚的判决。答题后，提出离婚的女方态度趋于冷静，双方均未表示上诉。（@人民日报 ） ​​​​,否,,2017-09-22 16:30,转发,评论,赞,微博 weibo.com,https://weibo.com/5820817140/Fn02lkoG6
