序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
12,【“老腊肉”经过近一周的“烹调”成为“脆皮腊肉”】8月6日以来，@茂县警方 两河口中队的陈福云和他的战友们轮番战斗在救灾保畅一线。在执勤点，小编：“老陈，又晒黑咯！”，老陈：“交警就是这样的～腊肉”，一旁战友：“他是脆皮的”像陈福云一样战斗在救灾保畅一线的战友还有很多很多，腊肉虽香，还需时间历练，请过往司机朋友服从交警指挥，您的安全是他们的心愿#四川九寨沟7.0级地震##我们和你在一起# @阿坝公安 @四川公安 @阿坝公安交警 @微茂县 @公安部打四黑除四害 @中国警察网 @共青团中央,否,,2017-08-11 19:30,转发,评论,4,iPhone,https://weibo.com/2750513404/FgDgRnWWq
13,,是,搭起双手，筑成你回家的路！#四川九寨沟7.0级地震# ​​​​,2017-08-11 16:45,转发,评论,1,iPhone,https://weibo.com/2750513404/FgCbPjWgL
14,,是,,2017-08-11 16:31,转发,评论,赞,iPhone,https://weibo.com/2750513404/FgC6dedeu
15,#九寨沟县7.0级地震# 后，从茂县城区到石大关乡旧关楼塌方路40多公里的路程便成了茂县公安局抽调警力的一线救援保畅阵地。    “驾驶员，不要一直往山上看，我们有安全员和民警为你指挥，你只管快速通过！”，“这里到九寨沟沟口还有约260公里，大概需要5小时到达，谢谢你的驰援，注意安全！”，“师傅，请你尽量驶离抗震救灾通道，切记不能占道停车”这些是民警在分流执勤点和石大关塌方路段便道抢通后说得最多的话。   在垮塌路段执勤点，民警们将一辆辆救灾物资车队安全疏导通过；在两河口、国际大酒店路段民警们不断提醒着社会无关车辆主动绕行，尽量避开抗震救灾生命线，优先保障运送救灾物资和转移人员的车辆通行，竭尽全力消除各种交通安全隐患，防止发生事故和交通堵塞，全力服务抗震救灾工作。 @微茂县 @阿坝公安 @阿坝同城 @四川公安  　  ,否,,2017-08-11 16:07,1,3,2,iPhone,https://weibo.com/2750513404/FgBWpE0JV
16,九寨依然美景！,是,【实拍震后九寨沟景区：落石之下，水依然蓝、花仍旧开】10日，记者深入九寨沟景区腹地，近距离拍到#四川九寨沟地震#后的景区，两分钟全纪录火花海、老虎海、犀牛海、镜海、诺日朗瀑布、珍珠湖、树正海等景点画面。L成都商报的秒拍视频 虽然地震中“受伤”，我们相信，九寨会依然美丽！ ​​​​,2017-08-11 10:20,2,评论,1,iPhone,https://weibo.com/2750513404/FgzFm0R3D
17,【目前震区国省干线公路已全部抢通！社会车辆尽量不要前往！】,是,#权威发布# 【目前震区国省干线公路已全部抢通！社会车辆尽量不要前往！】#四川九寨沟7.0级地震# 一、九环东线绵阳至九寨沟县城畅通，沿线没有垮方。实施交通管制，只出不进，车流量不大。二、九环西线国道213线：茂县境内K769+700(石大关旧关楼）处山体高位垮塌已抢通便道，可通行应急车辆，实施交 ​​​​...展开全文c,2017-08-11 09:02,2,1,1,iPhone,https://weibo.com/2750513404/Fgz9WoP6Z
18,,是,【视频：九寨沟，这里的夜晚平安如常】#四川九寨沟7.0地震# 发生后，四川全省公安机关闻警而动、科学救援，保畅交通、维护稳定。截至昨晚，全省公安机关共投入警力5100余人次，疏散转移游客和当地群众6万余人。夜晚降临，坚守在灾区的民警们又开始巡逻守护工作…… L四川公安的秒拍视频 ​​​​,2017-08-10 18:43,转发,评论,4,iPhone,https://weibo.com/2750513404/Fgtx99OUw
19,【路况提示】截至8月10日上午11点，国道213线茂县境内K769+700(石大关旧关楼)处山体高位垮塌路段已抢通便道。目前，实施交通管制，除抢险救灾车辆可通行外，禁止一切社会车辆通行。温馨提示：塌方路段仍有飞石滑落，为了您的安全请绕行或暂不进入灾区方向，同时也为黄金生命救援通道让行 ​​​​,否,,2017-08-10 15:42,转发,25,7,iPhone,https://weibo.com/2750513404/FgslL8X1N
20,天佑四川，唯愿平安！ ​​​,是,#四川九寨沟7.0级地震#据@中国地震台网速报 消息，截至8月10日8时0分，共记录到余震总数为1690次，其中6.0—6.9级地震0次，5.0—5.9级0次， 4.0—4.9级2次，3.0—3.9级21次，目前最大余震4.8级。地震无情，​​​​川人自强。天佑四川，唯愿平安！ ​​​​,2017-08-10 08:36,1,2,赞,iPhone,https://weibo.com/2750513404/FgpyW2Mjc
21,"【茂县公安一刻未停，待命随时驰援九寨】8月8日21时19分,四川阿坝州九寨沟县（北纬33.20度，东经103.82度）发生7.0级地震，震源深度20千米，地震发生后，茂县公安局立即向全局发出驰援九寨沟县的各种准备（20人应急队伍 、物资、应急车辆等），全局进一步强化值班备勤，保持通讯畅通。同时，持续在国道213线两河口、沙子河坝设立交通管制卡点，有序疏导救援车辆安全通过。",否,,2017-08-09 16:09,转发,6,1,iPhone,https://weibo.com/2750513404/Fgj5XmHQL
