序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
18,发布了头条文章：《再电气化：能源转型的根本途径》 什么是再电气化？在能源低碳转型的大趋势下，再电气化就是升级版的电气化，是电气化应用数量和质量上的飞跃，是清洁电能更广泛、更深入地被人们利用。在能源转型的过程中，电网是中心环节，90%以上的清洁能源必须转化为电力才能得以应用，利用新能源发电并深度替代化石能源是实现能源转型的根本途径。未来，再电气化让人人都可成为清洁能源的使用者，也可成为清洁能源的提供者。@国资小新 °再电气化：能源转型的根本途径,否,,2017-08-15 09:01,656,49,58,微博 weibo.com,https://weibo.com/1730306175/FhaRujBKK
19,电烤串啊！小编的最爱,是,发布了头条文章：《对不起，你以前的撸串姿势可能错了！》 °对不起，你以前的撸串姿势可能错了！ ​​​​,2017-08-14 21:48,10,7,18,iPhone 7 Plus,https://weibo.com/1730306175/Fh6seBhFn
20,国家电网版战狼Ⅱ，燃到爆！,是,【国家电网版战狼Ⅱ，燃到爆！】看国网版战狼2，为中国人骄傲，为电力人自豪~ 详情请见：O国家电网版战狼Ⅱ，燃到爆！ @国资小新 @国家电网 @国网湖北省电力公司 @国网江苏电力 @国网陕西电力 @国网福建电力95598 @国家电网江西电力 @国网北京电力 ​​​​,2017-08-13 12:33,331,18,30,iPhone 7 Plus,https://weibo.com/1730306175/FgTokq4z2
21,九寨沟震区国家电网受损电力设施全部恢复送电。好样的！川电兄弟们@国资小新 O网页链接 ​​​​,否,,2017-08-11 16:15,317,11,112,微博 weibo.com,https://weibo.com/1730306175/FgBZJBIos
22,祈福九寨，平安四川！,是,#晚安# #四川九寨沟7.0级地震# 点亮生命只灯，彰显国网力量。祈福九寨，平安四川。@新浪四川  @国家电网  @国家电网报 ​​​​@电网头条 @国资小新 ​​​​,2017-08-10 09:04,23,4,36,iPhone 7 Plus,https://weibo.com/1730306175/FgpK7v2gQ
23,8月9日上午，国家电网公司召开抗震救灾紧急视频会商会议，舒印彪董事长要求认真落实习近平总书记重要指示和李克强总理批示，全力做好九寨沟7.0级地震抢险保电工作，供电员工要发扬拼搏奉献精神，在抗震救灾工作中冲在前列，以最快速度恢复灾区供电。地震发生后，国家电网公司第一时间启动地震灾害应急响应，调整当地电网运行方式，努力恢复因地震导致中断供电地区的电力供应，并立即组织应急队伍支援灾区。8日23时，第一支电力抢修队到达110千伏九寨沟变电站，并对变电站受损情况进行检查。截至22时50分，九寨沟县城、黄龙景区恢复供电。9日13时，由40余人组成的电力抢修队徒步抵达110千伏九寨沟变电站，开展抢修工作。截至9日17时，公司已派出9支抢修队伍199名抢修人员，调集58台抢修车辆、3台发电车、15台发电机及其他抢险物资赶赴灾区。目前，累计27条10千伏线路恢复供电，灾区电力抢修救援工作正在有序推进中。O网页链接 @国资小新  @央视新闻,否,,2017-08-09 19:33,23,23,59,微博 weibo.com,https://weibo.com/1730306175/FgkqZ6pop
24,#抗震救灾央企行动# 8月9日10时，国网广元供电公司第一支救援队从兰海高速经甘肃省文县碧口前往九寨沟方向。途经落石路段，奔波6小时，成功通过岭岗岩隧道，顺利抵达九寨沟县城，经九寨沟景区前往甘海子方向，是率先抵达灾区的救援力量之一。@国资小新 @央视新闻,是,#四川九寨沟7.0级地震##抗震救灾央企行动# 8月9日10时，国网广元供电公司第一支救援队从兰海高速经甘肃省文县碧口前往九寨沟方向。途经落石路段，奔波6小时，成功通过岭岗岩隧道，顺利抵达九寨沟县城，经九寨沟景区前往甘海子方向，是率先抵达灾区的救援力量之一。       10点，九寨沟至甘海子十余公 ​​​​...展开全文c,2017-08-09 18:08,12,10,24,微博 weibo.com,https://weibo.com/1730306175/FgjSiuD4E
25,国网救援队抵达110千伏九寨沟（甘海子）变电站，开展抢修工作。加油！川电兄弟们,是,#四川九寨沟7.0级地震##抗震救灾央企行动# 国网广元供电公司救援队抵达110千伏九寨沟（甘海子）变电站，开展抢修工作。图为受损的变电站设备。@国家电网报  @国家电网  @新华网  @新浪四川 ​​​​,2017-08-09 14:54,8,10,40,iPhone 7 Plus,https://weibo.com/1730306175/FgiBCi9ZU
26,国网抢修队员们与子弟兵一起赶赴灾区加油四川,是,#四川九寨沟7.0级地震##抗震救灾央企行动# 电力抢险人员和民兵救援力量一起赶赴灾区，迅速通过山体垮塌危险点，众志成城，各方救援力量集结中。#震区发生769次地震#@国家电网 @电网头条 @国资小新 @华西都市报 @人民日报 @新华网 @中国新闻网 @中国电力新闻网 L国网四川电力的秒拍视频 ​​​​,2017-08-09 11:24,23,6,53,iPhone 7 Plus,https://weibo.com/1730306175/FghekpEFY
27,前方电力抢修队员了解到，前方塌方山体超过一万方，有车辆被埋、人员伤亡迹象。注意安全啊！,是,#四川九寨沟7.0级地震#国网广元供电公司了解到，前方塌方山体超过一万方，有车辆被埋、人员伤亡迹象。@人民日报 @新华网 @华西都市报 @国资小新 @国家电网 @中国电力新闻网 @四川日报 @电网头条 @中国新闻网 L国网四川电力的秒拍视频 ​​​​,2017-08-09 10:34,11,7,12,iPhone 7 Plus,https://weibo.com/1730306175/FggUhiqNK
28,战友们注意安全啊！@国资小新,是,#四川九寨沟7.0级地震# 国网阿坝供电公司第三批队员徒步赶赴核心灾区。据沿途观测，道路受损，落石砸到出沟车辆，车上人员已经安全撤离。队员跑步通过危险区域。@人民日报 @新华网 @华西都市报 @电网头条 @国资小新 @国家电网 @国家电网报 @中国电力新闻网 @四川日报 L国网四川电力的秒拍视频 ​​​​,2017-08-09 09:58,35,7,17,iPhone 7 Plus,https://weibo.com/1730306175/FggFE8s9f
29,#抗震救灾央企行动# 目前国家电网公司救援人员正赶往核心灾区开展救援电力保障工作。@国资小新 @央视新闻,是,:#抗震救灾央企行动# 截至9日7；00，国网四川电力在抢险救援中共计投入181名电力抢险人员，50台抢险车，3台应急发电车，4台发电机，10台照明灯具，4台无人机，2台卫星便通讯设备及其他抢险物资，并组织了位于阿坝、成都、绵阳、广元等地的电力抢险队赶往九寨沟灾区。目前阿坝公司救援人员正赶往核心灾 ​​​​...展开全文c,2017-08-09 08:31,59,6,21,微博 weibo.com,https://weibo.com/1730306175/Fgg6abMwm
30,#抗震救灾央企行动# 国网四川省电力公司首批抢险队伍由阿坝公司投入78人、22台车、1辆400千瓦发电车、6台5千瓦发电机、5台照明灯具、2顶帐篷、低压电力电缆400米以及若干低压照明材料；第二批抢险队伍由成都出发；在省公司的安排下，绵阳、广元电力抢险队伍也正赶赴现场。@国资小新,是,#九寨沟地震#【电网受损及抢修情况】截至9日1:08，地震造成阿坝电网110kV九寨沟变电站（甘海子）、35kV黄龙变电站、1条110kV线路、1条35kV线路、3条10kV线路停运，8个台区，黄龙乡1900余户用户停电，均未恢复供电。目前九寨沟县由黄埔电力供电，共计17条10千伏线路，九寨沟县城通过自备电厂顺河电站恢 ​​​​...展开全文c,2017-08-09 08:12,18,11,64,微博 weibo.com,https://weibo.com/1730306175/FgfYGfVPR
31,国网四川省电力公司首批抢险队伍由阿坝公司投入78人、22台车、1辆400千瓦发电车、6台5千瓦发电机、5台照明灯具、2顶帐篷、低压电力电缆400米以及若干低压照明材料；第二批抢险队伍由成都出发；在省公司的安排下，绵阳、广元电力抢险队伍也正赶赴现场。@国资小新,是,#九寨沟地震#【电网受损及抢修情况】截至9日1:08，地震造成阿坝电网110kV九寨沟变电站（甘海子）、35kV黄龙变电站、1条110kV线路、1条35kV线路、3条10kV线路停运，8个台区，黄龙乡1900余户用户停电，均未恢复供电。目前九寨沟县由黄埔电力供电，共计17条10千伏线路，九寨沟县城通过自备电厂顺河电站恢 ​​​​...展开全文c,2017-08-09 08:03,6,5,32,微博 weibo.com,https://weibo.com/1730306175/FgfUQopHu
32,【抢修进度】国家电网第一批14人的电力抢险救援队已经赶到九寨沟县干海子变电站，开展恢复供电的工作。第二批电力抢险救援队正赶往九寨沟。@国资小新,是,#九寨沟地震#【抢修进度】8日23时15分，国家电网第一批14人的电力抢险救援队已经赶到九寨沟县干海子变电站，开展恢复供电的工作。23时56分，国网四川电力第二批电力抢险救援队携带应急发电车、动中通、无人飞机等设备赶往九寨沟。@人民日报 @新华网 @央视新闻 @国资小新 @头条新闻 @国家电网 @四川日报 ​​​​...展开全文c,2017-08-09 00:57,58,12,44,微博 weibo.com,https://weibo.com/1730306175/Fgd89wQou
33,目前，若尔盖县、松潘县、红原县电网运行正常，九寨沟县到川主寺的供电线路110千伏川九线跳闸，松潘县35千伏城南变电站35千伏南黄线跳闸，九寨沟县城（非国家电网供区）部分地区供电中断。国网四川电力第一时间启动应急响应，对震区供电设备开展故障巡查，随时准备投入抢险救援@国资小新,是,#九寨沟地震#中国地震台测定，8月8日21时19分左右在四川阿坝州九寨沟县附近（北纬33.20度，东经103.88度）发生7.0级地震，震源深度20公里，四川省内多地有震感。目前，若尔盖县、松潘县、红原县电网运行正常，九寨沟县到川主寺的供电线路110千伏川九线跳闸，松潘县35千伏城南变电站35千伏南黄线跳闸， ​​​​...展开全文c,2017-08-08 23:27,348,17,51,iPhone 7 Plus,https://weibo.com/1730306175/FgcxoplHl
34,第一支电力抢险队伍已经挺进甘海子，并对甘海子变电站受损情况进行检查@国资小新,是,#九寨沟地震#据国网阿坝供电公司消息：第一支电力抢险队伍已经挺进甘海子，并对甘海子变电站受损情况进行检查。目前，九寨县城恢复供电，黄龙景区恢复供电。@电网头条 @四川经济日报 @央视新闻 @新华网 @国家电网 @国家电网报 @国资小新 ​​​​,2017-08-08 23:22,316,6,45,iPhone 7 Plus,https://weibo.com/1730306175/FgcvB2qbc
35,据中国地震台网正式测定，8月8日21时19分在四川阿坝州九寨沟县发生7.0级地震，目前有少量线路受影响跳闸，电力员工正在抢修@国资小新,是,地震最新情况：目前若尔盖县、松潘县、红原县电网运行正常，九寨沟县为地方电力供区，据了解电网运行也正常！有少量线路受影响跳闸，电力员工正在抢修。@电网头条  @国家电网报  @国家电网  @华西都市报  @四川经济日报 ​​​​,2017-08-08 22:13,311,9,44,iPhone 7 Plus,https://weibo.com/1730306175/Fgc3zeXEg
36,电力大哥好样的！,是,成都两女子落水，电力大哥和老外接力救人。救人者为国网成都供电公司电力工人。@国网成都供电公司 L秒拍视频 ​​​​,2017-08-02 14:07,10,34,45,微博 weibo.com,https://weibo.com/1730306175/Ffejjq0FQ
37,向高温下的劳动者致敬！,是,【“热哭了”是怎么样的一种体验？】好吧，其实最后这位叔叔的微笑真的很暖心。@国家电网 @电网头条 @国家电网报 @中国电力新闻网 @四川发布 @华西都市报 ​​​​,2017-07-31 14:27,11,11,55,iPhone 7 Plus,https://weibo.com/1730306175/FeVAhb1pe
38,第9号台风“纳沙”于7月30日6时左右在福清市沿海登陆，登录时最大风力12级。福州地区风大雨大，暴雨强风期间，提醒您尽量减少外出，注意人身安全和用电安全。,是,第9号台风“纳沙”于7月30日6时左右在福清市沿海登陆，登录时最大风力12级，福州地区风大雨大，因受到漂浮物、树木倾倒等影响，造成少数用户停电。福州供电公司已组织好抢修人员，但为确保抢修人员人身安全，目前暂无法外出勘察灾情和组织抢修，一旦风雨减弱、条件具备，我们将立即开展故障查找并及时 ​​​​...展开全文c,2017-07-30 07:00,4,21,16,iPhone 7 Plus,https://weibo.com/1730306175/FeJekltu7
39,中国电力，135岁生日快乐！,是,【中国电力，祝你生日快乐！】这是一篇励志鸡汤文。中国电力，135岁生日快乐！@国资小新 @国家电网 @国网湖北省电力公司 @国网陕西电力 @国网江苏电力 @国网山东省电力公司 @国网北京电力 @国网浙江电力  @天津供电服务 @国家电网江西电力 @国家电网上海市电力公司 @国网福建电力95598  @国网河北电力  ​​​​...展开全文c,2017-07-26 08:51,44,78,93,iPhone 7 Plus,https://weibo.com/1730306175/Fe8fghvcj
40,【旗帜领航 三年登高 国家电网公司召开党建工作会议】7月21日，国家电网公司党建工作会议在京召开。会议深入贯彻习近平总书记系列重要讲话精神和治国理政新理念新思想新战略，深入落实党的十八届六中全会和全国国有企业党的建设工作会议精神，总结十八大以来公司党建工作成绩，分析形势和任务，安排部署当前和今后一个时期公司党的建设重点工作，奋力开创公司党建工作新局面，持续做强做优做大国家电网公司，以优异业绩迎接党的十九大胜利召开。公司党组书记、董事长舒印彪出席会议并讲话，公司党组副书记、总经理寇伟主持会议，公司党组副书记、副总经理辛保安作会议总结，公司领导班子成员参加会议。中央组织部干部五局副巡视员李生参加会议，国务院国资委党建局副局长徐宇栋参加会议并讲话。@国资小新 O网页链接,否,,2017-07-23 12:09,23,103,38,微博 weibo.com,https://weibo.com/1730306175/FdHg5Dd0w
41,战高温保供电,是,【国网江西电力发布Ⅱ级高温橙色预警】 根据华中电网预警〔2017〕2号，预计7月底之前，华中大部地区将维持晴热高温天气，午后多局地热对流天气。7月21日后高温强度和范围将进一步发展，21-27日大部地区最高气温将达36～39℃，部分地区达 40℃以上。湖北东部、湖南、江西等地高温日数将持续7-9天。2017 ​​​​...展开全文c,2017-07-19 21:45,7,75,31,iPhone 7 Plus,https://weibo.com/1730306175/Fd9ka8kPd
42,强根铸魂   踏石留印,是,【人民网：强根铸魂抓党建 踏石留印见实效——国务院国资委党委推进国企党建工作责任制纪实】坚持党的领导、加强党的建设，是我国国有企业的光荣传统，是国有企业的“根”和“魂”。强根铸魂，理直气壮打造红色竞争力，是国有企业的重大责任和光荣使命。钉钉子，抓落实，深度推进“中央企业党建工作落 ​​​​...展开全文c,2017-07-19 19:40,6,5,9,微博 weibo.com,https://weibo.com/1730306175/Fd8vutnPI
43,"【国资委举办中央企业、地方国资委负责人培训班】7月11日，国资委在京举办中央企业、地方国资委负责人培训班，深入学习贯彻习近平总书记系列重要讲话精神和治国理政新理念新思想新战略，学习贯彻李克强总理重要批示精神，贯彻落实全国国有企业改革经验交流会精神，总结上半年工作，分析形势、交流经验，研究部署下半年重点工作任务,努力创造最佳业绩，以更加奋发有为的精神状态和更加卓有成效的工作成绩迎接党的十九大胜利召开。国资委党委书记郝鹏，国资委主任、党委副书记肖亚庆出席培训班并讲话。国资委领导黄丹华、孟建民、江金权、王文斌、刘强、阎晓峰、沈莹出席会议。O网页链接",否,,2017-07-12 18:48,10,47,10,专业版微博,https://weibo.com/1730306175/Fc4aBsP8A
