序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1053,【#沙场点兵#动图：陆上作战群 机动作战、立体攻防 】战机轰鸣声中，200多名官兵护卫着党旗、国旗、军旗向前挺进。17架直升机组成“八一”标识，24架直升机组成“90”字样飞过。随后，空中突击梯队、坦克方队、步战车方队、自行火炮方队、反坦克导弹方队组成的陆上作战群接受检阅！ ​​​@央视新闻 ​​​,否,,2017-07-30 10:10,13,5,9,iPhone 6,https://weibo.com/3053154652/FeKts4d9M
1054,,是,【#人民直播#：今天，解放军#朱日和阅兵#！一起看沙场点兵！】#建军90年#，7月30日上午9时，在朱日和训练基地将举行庆祝中国人民解放军建军90周年阅兵，习近平将检阅部队并发表重要讲话。这也是新中国成立以来首次为建军节举行的阅兵。一起看！ O微博直播 . ​​​​,2017-07-30 10:06,7,2,4,iPhone 6,https://weibo.com/3053154652/FeKs2z6lo
1055,666,是,【超帅！就喜欢这样的兵哥哥】流血流汗不流泪，掉皮掉肉不掉队！有再多的困难，也要勇往直前！来看六米拉梯和挂钩梯联用操，起梯、跑梯、卸梯、拉梯、挂梯、爬梯，配合默契，动作连贯！群众的安全有你们守护，安心！666赞起L秒拍视频 ​​​​,2017-07-30 10:05,7,2,5,iPhone 6,https://weibo.com/3053154652/FeKrl6ZJA
1056,,是,#消防官兵的后背#【你见过这样的“地图”吗？这是消防官兵的后背】近日，福建消防总队在福州特勤大队开展水域救援培训。消防官兵们的后背晒脱了一层又一层皮，晒成了“地图”，但他们不怕苦不怕累，只为了做人民最坚定的守护者！#同心共筑强军梦#（人民网福建）O消防官兵酷暑中训练 晒脱了好几层皮 ​​​​,2017-07-29 20:08,10,4,8,iPhone 6,https://weibo.com/3053154652/FeEXMvDRt
1057,【有一种帅气，叫“中国军人”！】他们无怨无悔，守卫着祖国边疆；危难时刻，又挺身而出，用生命守护生命。每一个帅气面庞的背后，有一个共同的名字：中国军人！向中国军人，致敬！#携手共筑强军梦# （人民日报） L秒拍视频 ​​​​,否,,2017-07-29 20:04,17,2,10,iPhone 6,https://weibo.com/3053154652/FeEW7os0R
1058,火灾逃生自救常识，来学呀,是,#消防提示#【火灾逃生自救常识】 一旦火灾降临，在浓烟毒气和烈焰包围下，不要惊慌，冷静机智运用火场自救与逃生知识，就能拯救自己的生命，快来戳图学习！ ​ ​​​​,2017-07-29 18:37,15,1,赞,iPhone 6s Plus,https://weibo.com/3053154652/FeEmDqyDW
1059,成都消防支队高新大队正在进一步调查处理中//@成都市公安消防支队:成都支队高新大队已于上周对嘉年华御府进行检查，消防设施未保持完好有效，正在进一步调查处理中。有关建筑高度超100米未设置自动喷淋系统，正在进一步核实中 ​​​//@中国消防:请@四川消防 @成都市公安消防支队 核查现场情况。,是,检查我们小区「四川省成都市高新区应龙路77号嘉年华御府」屋顶试验消火栓上的压力表，发现根本没有稳压！说明发生火灾时消火栓第一时间是没有水的！！！屋顶各种违建，总建筑高度超过100m，现在没有自动喷淋系统，违反《建筑防火规范》中的强制性条款！！！#高层起火消火栓没水##屋顶违建何时拆除#  ​​​​...展开全文c,2017-07-29 14:10,1,评论,2,iPhone 6s Plus,https://weibo.com/3053154652/FeCCuqn3L
1060,【隔着屏幕都能感受到教练此刻的绝望】贵州一女子在学车时，刚转了个弯，就不在状态了。教练怒吼四声踩刹车，只听学员一顿“啊”的乱叫，车子撞过大石球，冲下了台阶。教练：“踩刹车！”学员：“我怕啊！”教练：“踩刹车用这只脚啊！”（看看新闻Knews） L看看新闻Knews的秒拍视频 ​​​​,否,,2017-07-29 12:45,6,3,5,iPhone 6s Plus,https://weibo.com/3053154652/FeC3Qd2B2
1061,//@四川攀枝花消防:她是消防支队一名文员，她和丈夫结婚不到一年，丈夫就因为肺部感染而住进ICU，目前住院费已经赊欠4万余元，她实在走投无路了，现在在“水滴筹”发起众筹，希望各位爱心人士伸出援助之手，帮帮这个可怜的弱女子。@南充市公安消防支队 @四川消防,是,发布了头条文章：《​丨求助丨能不能求你走出ICU  》 @四川消防 @中国消防 @南充交通915 @FM1004南充综合广播 @四川遂宁消防 @南充快报 @公安部打四黑除四害 @南充公安 @南充同城@南充零距离@所有人 °​丨求助丨能不能求你走出ICU ​​​​,2017-07-29 10:50,5,1,3,iPhone 6s Plus,https://weibo.com/3053154652/FeBjo4NJT
1062,#夏季消防安全# 【夏季空调安全使用须知】日常生活中，由于使用空调不当引起的火灾，在电气火灾中所占的比例日渐增大，正确安全的使用空调尤为重要。那么，如何预防空调火灾呢？快来看看吧～ ​​​ ​​​​,否,,2017-07-29 10:50,26,3,2,iPhone 6s Plus,https://weibo.com/3053154652/FeBj27TCz
1063,【燃爆！这不是拍电影，这是中国空军！】还记得中国战斗机经典的“桶滚”动作吗？这个空军大片，多个高难度动作首度曝光。#军旗猎猎90年#，看中国空军笑傲苍穹！转发，致敬中国空军！（据人民日报） L秒拍视频 ​​​ L秒拍视频 ​​​​,否,,2017-07-29 10:46,13,评论,1,iPhone 6s Plus,https://weibo.com/3053154652/FeBhq0F2u
1064,【8名消防员娶媳妇，新娘：和手机过日子】近日，甘肃酒泉八位英俊的消防哥哥载着新娘来到营区举行集体婚礼。新娘笑称和消防官兵结婚聚少离多，像和手机过日子。幸福源自默默的支持，致敬嫂子们 L一手video的秒拍视频 ​​​​,否,,2017-07-28 16:39,14,2,8,iPhone 6s Plus,https://weibo.com/3053154652/FeuawAAut
1065,这就是铁军,是,【超燃！铁军是这样练成的！】穿上厚重的战斗服，扛起沉重的水带，重吗？拯救生命的责任更重！这就是勇往直前的消防员！来看百米梯次进攻操，考验的个人超强体能和团队默契配合，决不允许任何人掉队！在操场上百炼成钢，为实战中敢打必胜！我是不是你想象的样子？L秒拍视频 ​​​​,2017-07-28 16:39,5,2,3,iPhone 6s Plus,https://weibo.com/3053154652/FeuakwsH2
1066,#暑期消防夏令营#【军营“豆腐块” 萌娃来挑战！】火热七月，@眉山消防 营区迎来了16名小朋友，萌娃们首次经历“兵之初”，部队里的“豆腐块”当然是要学一学的，小家伙们学得这么认真，参加完夏令营，妈妈再也不用担心我的被子缩成毛毛虫啦~ ​​​​,否,,2017-07-28 16:31,5,2,5,360安全浏览器,https://weibo.com/3053154652/Feu7fiyII
1067,#火情速递# 【京昆高速广元段三车追尾起火损失过百万】7月26日晚上23点30分左右，京昆高速广元段发生一起三车追尾事故，事故造成三辆车不同程度被烧毁，@广元119 消防接警后立即赶赴现场处置，事故造成两辆小轿车烧毁，百货车货物部分燃烧，财产损失约一百多万，无人员伤亡司机朋友们夜间开车注意安全，不要疲劳驾驶。,否,,2017-07-28 16:17,4,1,3,360安全浏览器,https://weibo.com/3053154652/Feu1ixMDX
1068,警惕9种常见的火灾 ​​​​,是,#每天学习消防知识#【警惕高温天气九种火灾，与你息息相关】这几天持续高高高温，湖南人现在的基本状态都是↓出去一趟，爆炒；游了个泳，水煮；回来路上，生煎；进了家门，回锅...此外，居民和单位用电量也会随之增加，湖南消防提醒：夏季高温天气里要增强安全防范意识，警惕9种常见的火灾 ​​​​,2017-07-28 14:19,21,1,赞,360安全浏览器,https://weibo.com/3053154652/Fetfli4hw
1069,#卫士风采#【三伏天，消防员们都经历了什么？】夏季是火灾高发期，也是疲劳驾驶事故多发期，“灭火”和“救援”这两大重任考验着消防员。“夏练三伏”是消防员们必不可少的训练过程，在接近40度的高温天里，他们挥汗如雨，正是因为这样，才让他们在大火带来的高温面前“面不改色”，心疼！同样骄傲！（图@四川德阳消防 穆旭）,否,,2017-07-28 10:21,249,43,37,iPhone 6s Plus,https://weibo.com/3053154652/FerGZ5NQN
1070,救救孩子，扩散！谢谢！,是,【救救孩子！“最悲伤作文”小女孩急需0型血小板】还记得写“最悲伤作文”的小女孩吗？“我看见我的奶奶为我的病落泪的时候，我的心情很悲伤。如果我能活着长大，我一定会好好孝顺我的好奶奶。……”9岁的佳佳是一名遂宁女孩，因自幼患有再生障碍性贫血，父母离异后由祖父母抚养至今。佳佳现在四川省 ​​​​...展开全文c,2017-07-28 10:12,6,2,4,360安全浏览器,https://weibo.com/3053154652/FerDmrg0I
1071,#微作品展播# 【指南：消防战士是怎样炼成的？】第一步，火焰中淬炼第二步，暴雨里冲刷第三步，烈日下打磨第四步，蓝天下发光你们所看到的英勇无畏出自于汗水的洗礼他们所展现的自信笑颜诞生于实战的考验钢铁一般的消防战士，正是这样炼成的。@四川德阳消防 ​​​​,否,,2017-07-28 09:31,16,8,11,微博 weibo.com,https://weibo.com/3053154652/FermND3kg
1072,什么？声音竟然能灭火！？水能灭火这事不稀奇，但网上居然有传言说声音也能灭火！#这是真的吗#？眼见为实，咱们实验为证！戳视频↓,是,#消防微课堂#【声音能灭火？】水能灭火这事不稀奇，但网上居然有传言说声音也能灭火！#这是真的吗#？眼见为实，咱们实验为证！戳视频↓↓@中国消防 L秒拍视频 ​​​​,2017-07-28 09:30,5,1,1,360安全浏览器,https://weibo.com/3053154652/Fermf6q2T
1073,#夏季消防安全提示# 【使用插座要注意，否则可能酿成事故！】夏季用电量高，插座使用频繁，可是你知道吗？使用插座有这些误区，一不小心可能会酿成事故，戳图~→_→一般人儿我不告诉他 ​​​​,否,,2017-07-28 09:29,40,3,4,360安全浏览器,https://weibo.com/3053154652/FerlDhmpZ
1074,【夏天这么开车自燃没商量，保险还分文不赔？】连续的红色高温预警，不光人受不了，车也进入了自燃高发期。除了高温，还有什么原因会引发的自燃？为了预防车辆自燃变成废铁，戳↓↓视频了解学习吧 L视知TV的秒拍视频 ​​​​,否,,2017-07-28 09:13,38,4,2,分享按钮,https://weibo.com/3053154652/Ferfvfppt
1075,【险酿悲剧！爸爸高温天取钱 儿子被锁车内拍窗求救】21日，重庆璧山，交警发现一辆白色越野车停在路边，车内一男孩大哭，不停拍打车窗求救。车内温度持续升高，交警无法联系上车主，几分钟后孩子父亲取完钱赶到。高温天，封闭车内10分钟温度可升至71℃，相当危险！ L一手video的秒拍视频 ​​​​,否,,2017-07-28 09:00,17,4,4,分享按钮,https://weibo.com/3053154652/Fera6aIsa
1076,高温？酷暑？这里有不一样的温度！,是,【高温？酷暑？这里有不一样的温度！】连日来，四川境内各地进入“桑拿天”，我市持续36度左右的高温，犹如一个巨大蒸笼盖住达州大地，整个城市热得透不过气来。但是，在这样的高温环境下，消防蜀黍仍旧顶烈日、踏热浪、战高温、斗酷暑，默默坚守着岗位，是职责所在，更是信念铸就。面对高温的“烤验” ​​​​...展开全文c,2017-07-27 17:11,11,3,4,微博 weibo.com,https://weibo.com/3053154652/FekWUdXsd
1077,【干冰放进冰箱竟会引发爆炸】结冰的东西都能放进冰箱里吗？并不是！列如干冰！干冰是固态的二氧化碳，蓄冷能力是水冰的1.5倍以上，吸收热量后挥发成二氧化碳气体。冰箱的温度比干冰高，干冰放入冰箱后持续挥发，挥发放出的二氧化碳气体的体积是原本固体干冰的1000倍！致使冰箱压力过大，发生爆炸！L秒拍视频  @四川遂宁消防,否,,2017-07-27 17:10,19,5,4,微博 weibo.com,https://weibo.com/3053154652/FekWC8Gtn
