序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
823,#地震快讯#中国地震台网正式测定：08月09日08时29分在四川阿坝州九寨沟县（北纬33.28度，东经103.80度）发生3.9级地震，震源深度13千米。（ @震长 ） ​​​​,否,,2017-08-09 08:43,6,15,52,国家地震台网,https://weibo.com/3323927000/Fggb9jcpv
824,#四川九寨沟7.0级地震# 为进一步增强社会公众防震减灾意识，使公众正确地认识地震、了解地震，掌握科学的防震避震知识和正确的应对方法，中国地震台网中心联合中央电视台制作的地震应急宣传短片将于今天上午8点、9点整分别在央视一套和新闻频道首播，敬请关注。@中国国际救援队    @中国地震台网速报   @四川共青团,否,,2017-08-09 08:37,6,16,50,Android,https://weibo.com/3323927000/Fgg8M8Tiy
825,#四川九寨沟7.0级地震#   九寨、新疆余震一个接一个，不过，大家不用担心，余震不会较大 ​​​​,否,,2017-08-09 08:30,8,29,146,Android,https://weibo.com/3323927000/Fgg5ScuWn
826,#四川九寨沟7.0级地震# 据四川省地震局现场工作队报告：8月9日7时30分，四川省地震局现场工作队经连夜行进，抵达九寨沟县城，目前正与当地政府及相关部门沟通情况，商议抗震救灾工作，随后将进一步挺进震中地区，协同组织开展抗震救灾工作。四川省地震局现场工作队从绵阳平武到阿坝九寨沟，沿途所发现的地震破坏现象较少，破坏程度也较小，当地群众较为稳定。截至目前，四川省地震局派出的现场工作队由17台车辆、59名队员组成，携带了地震监测、灾情调查、现场救援等设备和装备，将在灾区组织开展人员搜索、地震监测、震情判断、烈度评定、灾害调查与评估、科普宣传等地震现场应急工作。（2017年8月9日07时50分）,否,,2017-08-09 08:30,6,8,67,专业版微博,https://weibo.com/3323927000/Fgg5Hh3cD
827,祝你们平安回家,是,【平安！九寨沟7.0级地震部份受困游客已平安驶离】今晨7点15分，在平武交警和绵阳增援交警的全力开展道路保畅疏导下，部分九寨沟游客顺利抵达平武县城。#四川九寨沟7.0地震# 发生后，@四川交警 @阿坝公安 @平安绵阳 连夜调集警力延线布警，全力确保转移车辆平安有序驶离九寨沟！ ​​​​,2017-08-09 08:22,4,9,104,Android,https://weibo.com/3323927000/Fgg2ydPad
828,我们正向着震中前进，景区游客正在有序撤离，请大家不信谣，不传谣,是,#四川九寨沟7.0级地震#【王东明在九寨沟机场主持召开指挥部第一次会议：我们一定不会被突如其来的灾害所压倒】今天早上6时许，由于前方道路阻断，省委书记王东明在九寨沟机场就地主持召开省抗震救灾指挥部第一次会议，对进一步做好抗震救灾工作提出要求。#祈福九寨沟# °我们一定不会被突如其来的灾害所压倒！ ​​​​,2017-08-09 08:16,10,7,93,Android,https://weibo.com/3323927000/Fgg01DFGk
829,#地震快讯#中国地震台网正式测定：08月09日08时10分在四川阿坝州九寨沟县（北纬33.12度，东经103.87度）发生3.7级地震，震源深度23千米。（ @震长 ） ​​​​,否,,2017-08-09 08:15,1,3,44,国家地震台网,https://weibo.com/3323927000/FgfZMe80s
830,转发微博,是,【民航第一个抗震救灾加班航班起飞】#九寨沟发生7级地震#  8月9日凌晨5时8分，民航第一个抗震救灾加班航班——川航3U8111运送救灾人员及物资，从成都起飞前往九寨，返程将接滞留旅客回蓉。零点前后，川航先后有3个航班从杭州等地飞抵九寨，航班上仅有1、2名旅客，川航相当于“空机”飞进九寨。 今天， ​​​​...展开全文c,2017-08-09 08:09,3,2,80,Android,https://weibo.com/3323927000/FgfXu7S4v
831,转发微博,是,#九寨沟发生7级地震# 【省救灾物资储备中心向九寨沟县紧急调运救灾物资】9日凌晨，省民政厅向阿坝州九寨沟县地震灾区紧急调运600顶帐篷、2000床棉被。根据调拨指令，省救灾物资储备中心庚即启动《救灾物资应急调运预案》，应急运输车辆和叉车司机、搬运工人立即到位，连夜加班有序、安全地进行装车，凌 ​​​​...展开全文c,2017-08-09 08:09,2,评论,53,Android,https://weibo.com/3323927000/FgfXnC8B5
832,//@四川日报:据省政府新闻办，目前，已有两处塌方已经疏通。,是,#九寨沟发生7级地震# 【交通部门手绘地图 全力抢通塌方路段】8月9日早7点半，记者从省政府新闻办了解到，九寨沟7.0级地震导致省道301线九黄机场至漳扎镇6处塌方，交通中断。截至目前，四川省交通运输部门正全力组织道路抢通工作，现场共有9台装载机、2台挖掘机从两头向中间推进，施工作业人员70余人。 ​​​​...展开全文c,2017-08-09 08:08,2,1,38,Android,https://weibo.com/3323927000/FgfX0yv2T
833,"#四川九寨沟7.0级地震#  据四川地震台网测定：截至今日（8月9日）07时九寨沟7.0级地震震区发生769次地震，其中3.0-3.9级地震13个，无4级以上余震。8月9日凌晨2：20，四川省地震局局长、指挥长吕弋培主持召开指挥部工作会议，传达党中央、国务院和中国地震局、四川省委省政府领导的重要指示精神，安排部署了下一步贯彻落实措施：一是继续跟踪震情趋势，加密会商；二是在灾区布设流动测震仪，加密观测；三是关注灾区灾情，加强与市县防震减灾部门联系，及时更新灾情信息；四是加强与政府、民政、应急等部门的沟通协调，及时沟通工作信息；五是组织做好地震现场各项工作，协同做好抗震救灾工作。此外，要做好信息报送、应急宣传、舆情引导等工作，维护好抗震救灾工作大局和社会秩序稳定,努力最大限度减轻地震灾害损失。（2017年8月9日07时15分）",否,,2017-08-09 07:54,5,16,65,专业版微博,https://weibo.com/3323927000/FgfR51vDC
834,#地震快讯#中国地震台网正式测定：08月09日07时27分在新疆博尔塔拉州精河县（北纬44.27度，东经82.89度）发生6.6级地震，震源深度11千米。（ @震长 ） ​​​​,否,,2017-08-09 07:44,7,26,55,国家地震台网,https://weibo.com/3323927000/FgfN77npj
835,#地震快讯#中国地震台网自动测定：08月09日07时27分在新疆博尔塔拉州精河县附近（北纬44.31度，东经82.89度）发生6.1级左右地震，最终结果以正式速报为准。（ @震长 ） ​​​​,否,,2017-08-09 07:42,5,7,45,国家地震台网,https://weibo.com/3323927000/FgfMaiLgC
836,#四川九寨沟7.0级地震#  各路救援力量先头部队已抵达九寨沟政务中心广场集结，马上将要出发前往震中，震中距离县城大约39公里。九寨沟县城天气状况良好，市民情绪稳定，生活有序。@中国地震台网速报    @中国国际救援队 ​​​​,否,,2017-08-09 07:41,4,9,51,Android,https://weibo.com/3323927000/FgfLYsLq7
837,#地震快讯#中国地震台网自动测定：08月09日07时27分在新疆博尔塔拉州精河县附近（北纬44.31度，东经82.89度）发生6.1级左右地震，最终结果以正式速报为准。（ @震长 ） ​​​​,否,,2017-08-09 07:39,7,8,21,国家地震台网,https://weibo.com/3323927000/FgfL4EfDq
838,#四川九寨沟7.0级地震#  景区游客车辆正在有序疏散，辛苦了交警蜀黍们，希望天气一如既往的好@四川气象      @中国地震台网速报    @中国国际救援队 L四川省地震局的秒拍视频 ​​​​,否,,2017-08-09 07:18,10,13,127,Android,https://weibo.com/3323927000/FgfCI71pU
839,#四川九寨沟7.0级地震#  我们距九寨沟县城还有28公里，截至目前，一路上路况良好，就是网络信号极差，还好还能通话@中国国际救援队    @中国地震台网速报 ​​​​,否,,2017-08-09 06:58,5,45,216,Android,https://weibo.com/3323927000/FgfuHkKrY
840,#地震快讯#中国地震台网正式测定：08月09日06时49分在四川阿坝州九寨沟县（北纬33.31度，东经103.77度）发生3.3级地震，震源深度13千米。（ @震长 ） ​​​​,否,,2017-08-09 06:55,2,6,63,国家地震台网,https://weibo.com/3323927000/FgftkeCce
841,#地震快讯#中国地震台网正式测定：08月09日06时49分在四川阿坝州九寨沟县（北纬33.11度，东经103.88度）发生3.2级地震，震源深度18千米。（ @震长 ） ​​​​,否,,2017-08-09 06:52,5,3,30,国家地震台网,https://weibo.com/3323927000/Fgfs9xkRU
842,#地震快讯#中国地震台网正式测定：08月09日06时24分在四川阿坝州九寨沟县（北纬33.14度，东经103.85度）发生3.0级地震，震源深度18千米。（ @震长 ） ​​​​,否,,2017-08-09 06:32,7,6,33,国家地震台网,https://weibo.com/3323927000/FgfjZmEPm
843,#四川九寨沟7.0级地震#  遇到一批从景区往外疏散的游客，祝你们平安回家。（不经意间我们成为了逆行人，虽然不是最帅的），省地震局工作队目前距九寨沟还有62公里，预计还需一小时。 L四川省地震局的秒拍视频 ​​​​,否,,2017-08-09 06:19,16,34,191,Android,https://weibo.com/3323927000/FgfeO9zI8
844,#地震快讯#中国地震台网正式测定：08月09日05时41分在四川阿坝州九寨沟县（北纬33.14度，东经103.83度）发生3.3级地震，震源深度10千米。（ @震长 ） ​​​​,否,,2017-08-09 05:46,1,11,44,国家地震台网,https://weibo.com/3323927000/Fgf1kcwEF
845,#地震快讯#中国地震台网正式测定：08月09日05时37分在四川阿坝州九寨沟县（北纬33.12度，东经103.87度）发生3.6级地震，震源深度17千米。（ @震长 ） ​​​​,否,,2017-08-09 05:42,2,6,25,国家地震台网,https://weibo.com/3323927000/FgeZwvjQb
846,#地震快讯#中国地震台网正式测定：08月09日05时16分在四川阿坝州九寨沟县（北纬33.30度，东经103.76度）发生3.6级地震，震源深度10千米。（ @震长 ） ​​​​,否,,2017-08-09 05:21,1,4,31,国家地震台网,https://weibo.com/3323927000/FgeQYpYyf
847,#地震快讯#中国地震台网自动测定：08月09日05时16分在四川阿坝州九寨沟县附近（北纬33.28度，东经103.86度）发生3.6级左右地震，最终结果以正式速报为准。（ @震长 ） ​​​​,否,,2017-08-09 05:16,3,2,24,国家地震台网,https://weibo.com/3323927000/FgePg1MoD
848,#四川九寨沟7.0级地震#【四川九寨沟7.0级地震情况通报】         北京时间2017年8月8日21时19分，在四川省阿坝州九寨沟县（市）（北纬33.2，东经103.8）发生7.0级地震，震源深度为20公里。震中距离九寨沟县城35公里，距阿坝州210公里，距成都市290公里，距甘肃陇南市100公里。四川、甘肃、青海、宁夏、陕西多省震感明显，局部地区震感强烈。　　地震发生后，李克强总理和汪洋副总理作出重要批示，中国地震局单位立即启动地震一级应急响应，中国地震局局长郑国光立即作出紧急部署，派出国家地震现场应急工作组赴四川协助地震政府开展抗震救灾工作。中国地震台网中心、四川地震局启动一级应急响应，台网中心召开紧急会商，四川、甘肃、青海、陕西、宁夏地震局、四川阿坝州地震局派出人员紧急赶往灾区，开展现场震情监视、地震灾情调查、震情趋势判定、灾害损失评估、防震减灾宣传等工作。　　四川九寨沟7.0级地震发生后，截至22时30分，震区已经记录到地震107次，其中，5.0-5.9级地震0个，4.0-4.9级地震0个，3.0-3.9级地震2个，最大余震为3.3级。　　阿坝州地貌错综复杂，震区50公里范围内人口密度为9人/平方公里。截至目前了解到的情况，地震已经造成了人死亡，震中地区电力、通信受到影响。灾情正在进一步收集中。　　本次地震发生在岷江断裂带附近(距离小于30km)，有历史记录以来震中附近200公里范围内共发生5级以上级以上地震26次。距离最近的地震是1973年8月11日6.5级地震，距离42公里；时间最近的地震是2013年7月22日6.6级地震，距当前地震149公里。,否,,2017-08-09 04:50,11,10,35,Android,https://weibo.com/3323927000/FgeEr0u0y
849,感谢你们的付出，辛苦了。经协调，现在我们已经被放行，目前正往九寨沟开进。//@四川公安:战友们辛苦了！#四川九寨沟7.0地震#,是,#九寨沟地震#平武公安通宵上岗确保救援通道通畅。2017年08月08日21时19分49秒在四川阿坝州九寨沟县附近（北纬33.2度，东经103.88度）发生6.5级左右地震，平武县公安局第一时间启动应急预案，投入警力200余人次，实行24时轮流上岗，在九环东线平武境内设置交通管制点15个，对重点路段实行24小时交通管 ​​​​...展开全文c,2017-08-09 04:43,6,7,44,Android,https://weibo.com/3323927000/FgeBG8SsY
850,#四川九寨沟7.0级地震#【郑国光部署四川九寨沟7.0级地震应急处置工作】O       8月9日21时19分，四川九寨沟发生7 .0级地震。地震发生后，国务院抗震救灾指挥部副指挥长、中国地震局局长郑国光立即主持召开四川九寨沟7.0级地震应急指挥部会议，研究部署地震应急处置工作。        经研究，国务院抗震救灾指挥部启动国家Ⅱ级地震应急响应，派出由中国地震局副局长阴朝民带队，共55人组成的地震现场工作队，赶赴震区指导和帮助地方做好抗震救灾工作。        郑国光通过视频系统听取四川省地震局及各相关省地震局、直属事业单位和局各应急小组应急处置工作汇报，通报当前地震灾害情况和地震系统抗震救灾工作措施，部署地震应急处置工作。郑国光要求，一是强化震情监测分析工作，密切关注震情发展。四川省地震局和中国地震台网中心要进行滚动会商，动态研判后续震情发展。二是做好灾情评估鉴定工作。对因受灾损失的各类房屋进行评估鉴定，为国家资金支持和灾后重建提供可靠、详实的数据。三是应急救援司要统筹部署好现场应急救援工作，国家地震灾害紧急救援队做好出队准备。四是继续加强舆论宣传引导工作。深入开展抗震救灾宣传报道工作，努力营造全社会关心、支持灾区抗震救灾、恢复重建的良好社会氛围。五是做好信息报送工作，迅速收集震情、灾情信息、及时将信息通报国务抗震救灾指挥部相关成员单位。,否,,2017-08-09 04:41,4,5,24,Android,https://weibo.com/3323927000/FgeAJFILN
851,转发微博,是,"【生命之光!医院停电,警车照亮急救室】8月8日夜，四川九寨沟地震后，第二人民医院停电，羊峒派出所民警调集4辆汽车照明，帮助医院在户外搭建急救室，让医生抢救伤员。L生命之光!医院停电,警车照亮急救室 ​​​​",2017-08-09 04:38,4,3,51,Android,https://weibo.com/3323927000/FgezO2aHe
852,,是,#权威发布# 【四川交警权威发布九寨沟地震交通管制措施（二）】：一、放行成绵高速及成绵复线高速（成都往绵阳方向）社会车辆至今晨7时。二、对绵阳平武、广元青川、甘肃文县、阿坝若尔盖、松潘进入灾区方向车辆仍然实行交通管制。 ​#四川九寨沟7.0地震# ​​​​,2017-08-09 04:38,转发,2,22,Android,https://weibo.com/3323927000/FgezLn8RJ
853,#四川九寨沟7.0级地震# 以上三张照片来自当地网友，照片位于九寨沟县漳扎镇隆康村，无人员伤亡。@中国国际救援队@中国地震台网速报   @四川日报 ​​​​,否,,2017-08-09 04:29,2,22,81,Android,https://weibo.com/3323927000/FgevQtPqv
854,#四川九寨沟7.0级地震#今年以来，四川共发生三级以上地震38次，其中3.0到3.9级30次，4.0到4.9级7次，5.0级以上0次，最大地震是2017年8月8日在四川阿坝州九寨沟县发生的7.0级地震。         过去100年间，四川共发生五级以上地震163次，5.0到5.9级116次，6.0级到6.9级39次，7.0级到7.9级7次，8.0级以上1次，最大地震是2008年5月12日在四川省阿坝藏族羌族自治州汶川县发生的8.0级地震。,否,,2017-08-09 04:25,5,10,33,Android,https://weibo.com/3323927000/Fgeul86iM
855,#四川九寨沟7.0级地震#【王东明对九寨沟7.0级地震抢险救援工作作出指示】8月8日21时19分，阿坝州九寨沟县发生7.0级地震，震源深度20千米。灾情发生后，省委书记王东明第一时间作出指示，要求立即启动应急响应，派出省委省政府工作组赶赴现场指导救灾工作，强调首先要全力开展抢险救援，千方百计减少人员伤亡；要迅速把群众和游客转移到安全地带；要尽快了解情况，加强震情监测，防范次生灾害。@中国国际救援队   @中国地震台网速报,否,,2017-08-09 04:22,2,5,36,Android,https://weibo.com/3323927000/Fgetl5Lvd
856,#四川九寨沟7.0级地震#  省地震局工作队刚过平武县城，从这里开始，前往九寨沟的两条路已单向封闭管制。目前只放行武警消防、地震紧急救援队，请社会车辆不要驶入，请社会救援力量服从调度安排。@中国国际救援队   @中国地震台网速报   @四川发布   @四川观察   @新浪四川   @网易四川 ​​​​,否,,2017-08-09 04:10,27,14,56,Android,https://weibo.com/3323927000/FgeosbxCW
